voz	fichero	idioma	texto	dónde suena
instructor	instructor/vuelo.estacionado.ogg	es-PY	Arrancá el motor	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.arrancando.ogg	es-PY	Soltá el freno y andá despacito	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.rodando.ogg	es-PY	Seguí la raya verde	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.esperando.ogg	es-PY	Pará del todo y esperá la luz	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.autorizado.ogg	es-PY	¡Luz verde! Entrá a la pista	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.backTaxi.ogg	es-PY	Andá hasta el fondo y dá la vuelta	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.alineando.ogg	es-PY	Ponete derechito en el eje	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.minimos.ogg	es-PY	Mirá la pista: ¿la ves?	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.noEstabilizada.ogg	es-PY	Así no: andate y volvé a intentarlo	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.rotar.ogg	es-PY	Tirá para arriba	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.comprometido.ogg	es-PY	¡Ya no se puede frenar, volá!	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.despegando.ogg	es-PY	Motor a fondo	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.enVuelo.ogg	es-PY	Andá a dar una vuelta	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.enVueloAterrizando.ogg	es-PY	Andá a la pista	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.final.ogg	es-PY	Bajá suavecito	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.terrenoBajo.ogg	es-PY	Vas muy bajo	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.terrenoSube.ogg	es-PY	¡Subí!	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.mandanFrustrar.ogg	es-PY	¡Pista ocupada! Subí y volvé por el circuito	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.puedeVolver.ogg	es-PY	La torre te deja volver a intentarlo	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.frustrada.ogg	es-PY	¡Bien hecho! Te fuiste al aire. Probá de nuevo	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.aroAlto.ogg	es-PY	Pasaste por encima del aro. Bajá un poco	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.aroBajo.ogg	es-PY	Pasaste por debajo del aro. Subí un poco	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.papiAlto.ogg	es-PY	Luces blancas: vas alto, bajá	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.papiBajo.ogg	es-PY	Luces rojas: vas bajo, subí	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.papiBien.ogg	es-PY	Dos rojas y dos blancas: vas bien	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.bulto.ogg	es-PY	Por ahí no se pasa: hay un edificio	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.aterrizado.ogg	es-PY	Frená	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.abandonando.ogg	es-PY	Salí de la pista, que viene otro	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.pistaLibre.ogg	es-PY	¡Pista libre! Bien hecho	lo que toca hacer ahora, en vuelo y en tierra
instructor	instructor/vuelo.aPlataforma.ogg	es-PY	Volvé a tu lugar	lo que toca hacer ahora, en vuelo y en tierra
