001	vuelo.estacionado	Arrancá el motor
002	vuelo.arrancando	Soltá el freno y andá despacito
003	vuelo.rodando	Seguí la raya verde
004	vuelo.esperando	Pará del todo y esperá la luz
005	vuelo.autorizado	¡Luz verde! Entrá a la pista
006	vuelo.backTaxi	Andá hasta el fondo y dá la vuelta
007	vuelo.alineando	Ponete derechito en el eje
008	vuelo.minimos	Mirá la pista: ¿la ves?
009	vuelo.noEstabilizada	Así no: andate y volvé a intentarlo
010	vuelo.noEstabilizada~2	Venís mal para bajar: gas y al aire, lo probamos otra vez
011	vuelo.noEstabilizada~3	Dejá el aterrizaje. Gas, subí, y volvemos a intentarlo
012	vuelo.rotar	Tirá para arriba
013	vuelo.comprometido	Ya despegamos: seguí
014	vuelo.despegando	Motor a fondo
015	vuelo.enVuelo	Andá a dar una vuelta
016	vuelo.enVueloAterrizando	Andá a la pista
017	vuelo.final	Bajá suavecito
018	vuelo.terrenoBajo	Vas muy bajo
019	vuelo.terrenoSube	Terreno. Subí
020	vuelo.perdida	Pérdida. Bajá el morro
021	vuelo.bajasRapido	Bajás muy rápido
022	vuelo.muyInclinado	Estás muy inclinado
023	vuelo.pilotoSuelto	Se soltó el piloto automático
024	vuelo.mandanFrustrar	Pista ocupada. Subí y volvé por el circuito
025	vuelo.mandanFrustrar~2	¡Hay alguien en la pista! Gas, subí y dejá el aterrizaje
026	vuelo.mandanFrustrar~3	No podés bajar: metele gas y volvé a subir
027	vuelo.puedeVolver	La torre te deja volver a intentarlo
028	vuelo.puedeVolver~2	La pista quedó libre: podés volver a bajar
029	vuelo.frustrada	¡Bien hecho! Te fuiste al aire. Probá de nuevo
030	vuelo.frustrada~2	Muy bien: irse al aire también es volar bien
031	vuelo.frustrada~3	Eso estuvo bien. Damos otra vuelta y volvemos
032	vuelo.aroAlto	Venís un poco alto. Bajá suave
033	vuelo.aroAlto~2	Venís un poco alto. Bajá el morro despacito
034	vuelo.aroAlto~3	Estás por encima. Soltá un poquito y vas a ir entrando
035	vuelo.aroAlto~4	Un poco alto para la pista: bajá suave
036	vuelo.aroBajo	Venís un poco bajo. Subí suave
037	vuelo.aroBajo~2	Venís bajo. Tirá un poquito y un toque de motor
038	vuelo.aroBajo~3	Estás por debajo: subí despacio, sin pasarte
039	vuelo.aroBajo~4	Un poco bajo para la pista: levantá suave
040	vuelo.corregido	¡Eso es! Así venís bien
041	vuelo.corregido~2	Muy bien, así venís
042	vuelo.corregido~3	Eso. Ahora entrás derechito
043	vuelo.corregido~4	Perfecto, quedate así
044	vuelo.papiAlto	Luces blancas: vas alto, bajá
045	vuelo.lentoYBajo	Venís lento: metéle gas
046	vuelo.papiBajo	Luces rojas: vas bajo, subí
047	vuelo.papiBien	Dos rojas y dos blancas: vas bien
048	vuelo.bulto	Por ahí no se pasa: hay un edificio
049	vuelo.aterrizado	Frená
050	vuelo.abandonando	Salí de la pista, que viene otro
051	vuelo.pistaLibre	¡Pista libre! Bien hecho
052	vuelo.aPlataforma	Volvé a tu lugar
053	vuelo.enPuesto	Llegaste. Apagá el motor
054	vuelo.apagado	¡Vuelo terminado!
055	vuelo.fuera	Volvé a la raya verde
056	vuelo.roto	Se rompió. Volvemos a empezar
057	vuelo.rapido	Vas muy rápido
058	vuelo.sobrevelocidad	Muy rápido: bajá el motor
059	vuelo.sobrevelocidadAire	Muy rápido para esta altura
060	vuelo.trenPasado	Muy rápido con el tren fuera: metélo
061	vuelo.flapsPasados	Muy rápido con los flaps: recogélos
062	vuelo.pediFlaps	Bajá los flaps para frenar
063	vuelo.meteElTren	Metélo, el tren te frena
064	vuelo.tormenta	Hay lluvia delante: rodeála, no la cruces
065	vuelo.reserva	Entraste en la reserva: buscá dónde aterrizar
066	vuelo.sinCombustible	Se acabó el combustible: planeá hasta la pista
067	vuelo.sacaElTren	Sacá el tren
068	vuelo.despacio	Más despacio
069	vuelo.alto	Pará acá
070	vuelo.teLoPasaste	Te pasaste. Frená y volvé
